,predicted_mean
2020-01-01,449048.3543058792
2020-01-02,644026.3311633884
2020-01-03,259678.4918232984
2020-01-04,612827.7317276744
2020-01-05,900579.8810314458
2020-01-06,519212.70748819655
2020-01-07,717431.8668323295
2020-01-08,481557.3958604633
2020-01-09,707196.2845709987
2020-01-10,266049.78071382473
2020-01-11,913440.5778599253
2020-01-12,453082.819827246
2020-01-13,479040.7001158049
2020-01-14,689380.0768749744
2020-01-15,173470.75105917398
